Gene1,Gene2,score
PGD2,FGF9,0.19352501569232766
FGF9,PGD2,0.19352501569232472
AMH,DHH,0.1714070154268678
DHH,AMH,0.17140701542686596
AMH,NR0B1,0.1401803370365245
SOX9,NR5A1,0.12804487626268699
NR5A1,SOX9,0.1280448762626815
DMRT1,SRY,0.1260297249870505
DMRT1,DKK1,0.12105288578602791
DKK1,DMRT1,0.121052885786025
AMH,RSPO1,0.11835719755840597
NR5A1,UGR,0.11270289697002948
UGR,WT1pKTS,0.1119298154084615
DHH,WNT4,0.10718485973944272
DHH,WT1mKTS,0.10634452763431752
FGF9,CBX2,0.10373024230534225
DHH,FOXL2,0.10271717285464228
PGD2,CTNNB1,0.09840249247902957
DHH,GATA4,0.09530155928485928
NR0B1,AMH,0.05454100871450571
FGF9,AMH,0.04797145004935402
AMH,FGF9,0.03458606505550876
SOX9,FGF9,0.03352771735503392
AMH,PGD2,0.029631562956367707
DHH,PGD2,0.026848429263057833
WNT4,NR0B1,0.02581601240489692
PGD2,DHH,0.024925339304573524
FOXL2,SOX9,0.024004800799768508
PGD2,AMH,0.0235056650959026
WT1mKTS,AMH,0.021303069024031063
UGR,CBX2,0.021093063786209232
RSPO1,UGR,0.0210210549554853
CTNNB1,DHH,0.01945297628713183
FGF9,DKK1,0.01935441321354668
CTNNB1,UGR,0.019102342354449117
UGR,SRY,0.018779003580999667
FGF9,NR5A1,0.01833780128096779
CBX2,WT1mKTS,0.01829396232353274
RSPO1,DMRT1,0.01804965789628686
SOX9,CTNNB1,0.01738906334718668
GATA4,AMH,0.016894792806436645
CTNNB1,NR0B1,0.016696353083450896
FOXL2,WT1pKTS,0.01661171097407034
WT1pKTS,AMH,0.015393280566362327
DMRT1,NR5A1,0.014877602243188182
CBX2,DMRT1,0.014749871830009628
NR0B1,FGF9,0.014498314100529791
DHH,FGF9,0.014267196683633507
DHH,UGR,0.013767039836902736
SRY,WT1mKTS,0.013624475739155428
FGF9,DHH,0.013574846389774742
RSPO1,DHH,0.013145415174130731
SOX9,RSPO1,0.012680992509392738
SRY,FOXL2,0.012643835591939975
CTNNB1,WT1mKTS,0.012499256140771811
SRY,UGR,0.012436610673705092
RSPO1,NR0B1,0.012258411565366265
WT1mKTS,WNT4,0.012238209935530237
SRY,DKK1,0.012026342739320114
NR0B1,WT1mKTS,0.011892770554068718
DKK1,DHH,0.011845668594274744
SRY,WNT4,0.011718654326479394
DKK1,CTNNB1,0.0116257440464506
SOX9,DHH,0.01130714739643747
DKK1,WT1pKTS,0.01121779603740379
DMRT1,PGD2,0.010854623499025204
RSPO1,CTNNB1,0.010846368846107388
WT1pKTS,CTNNB1,0.010761837401986787
WT1pKTS,SOX9,0.010508283496189388
GATA4,UGR,0.010077884346618493
WNT4,DKK1,0.010049429249664232
CTNNB1,FGF9,0.009791249741205058
FOXL2,AMH,0.009259795686772376
GATA4,WT1mKTS,0.009061384726222588
WT1mKTS,WT1pKTS,0.008946902920072428
DHH,SOX9,0.008846923354610153
UGR,FOXL2,0.008806006927515764
CBX2,DHH,0.007900277021782642
DKK1,FGF9,0.007724086647140388
GATA4,WNT4,0.007434187494212721
WT1pKTS,SRY,0.007315898982050387
NR5A1,PGD2,0.006974559522922544
NR5A1,DMRT1,0.006545995423954579
DKK1,SRY,0.006428237765401509
WNT4,RSPO1,0.0063239520756448175
NR0B1,NR5A1,0.006302809805530871
WT1mKTS,FGF9,0.006251936975651531
GATA4,FOXL2,0.006209094784513078
CBX2,SOX9,0.006097397410858851
FOXL2,WNT4,0.005770518878249836
UGR,DHH,0.0057141249013858
CBX2,WNT4,0.005545447600582107
FOXL2,DMRT1,0.005475313136623305
UGR,PGD2,0.00537983654877347
WNT4,GATA4,0.00494438159084315
NR5A1,WT1mKTS,0.0048054065259741235
WNT4,UGR,0.004615023817444899
WT1mKTS,DMRT1,0.004470966749065872
DMRT1,NR0B1,0.004429747288727165
WNT4,PGD2,0.004344862565921245
WT1pKTS,DHH,0.004320952540238426
WT1pKTS,FOXL2,0.004031416212190095
