cell_id,Pseudotime
E801_438,0.17226936
E1_769,0.021920864
E1795_733,0.9773881
E645_767,0.040925715
E487_58,0.40902364
E284_5,0.33233383
E1797_596,0.98183
E1058_571,0.028982837
E426_671,0.9627808
E1421_298,0.22451714
E1342_303,0.32697526
E1838_217,0.39151672
E1205_441,0.23055695
E243_17,0.3563211
E1297_71,0.4901888
E955_615,0.03227873
E1249_687,0.030071348
E911_206,0.36138093
E356_143,0.489491
E585_315,0.2888279
E1875_274,0.4566085
E1395_781,0.96598214
E64_718,0.020943979
E1582_573,0.9760981
E395_752,0.96202487
E700_361,0.19175763
E709_134,0.49614128
E1343_759,0.8894751
E84_794,0.9580233
E1434_21,0.3686679
E1329_321,0.31045857
E322_105,0.44336852
E140_372,0.95492166
E106_563,0.96719635
E1606_316,0.4646503
E1508_539,0.03915571
E1102_404,0.9781111
E905_125,0.4636388
E1196_515,0.030324806
E552_450,0.27157888
E1698_699,0.022485001
E1401_220,0.70358956
E1097_282,0.799494
E1538_410,0.5717383
E676_765,0.032197185
E414_718,0.95739007
E92_524,0.9748213
E1416_382,0.96737874
E1179_586,0.03434909
E1597_383,0.9658837
E1680_760,0.02767634
E670_789,0.97400224
E1748_438,0.19940792
E831_421,0.1620714
E125_263,0.52993995
E1830_130,0.5008873
E960_401,0.9372141
E722_718,0.8058676
E30_71,0.36818895
E1561_285,0.887766
E242_213,0.48342514
E496_41,0.3481476
E1647_587,0.96303177
E566_374,0.94640243
E1673_380,0.2984268
E1846_453,0.05848392
E717_283,0.8729716
E410_465,0.96394247
E396_717,0.9567936
E1225_707,0.024123773
E593_600,0.033541422
E1514_727,0.046468902
E1287_584,0.95073426
E1193_657,0.035409234
E1978_106,0.46502033
E1694_570,0.96455795
E1534_250,0.96712697
E1798_332,0.22300228
E1651_442,0.9537182
E1500_157,0.4468576
E1427_564,0.9591498
E437_616,0.031025473
E14_185,0.48959517
E1134_316,0.9805325
E1032_80,0.49880332
E1603_103,0.46448603
E1745_261,0.6599442
E31_193,0.52097636
E1028_546,0.97562605
E1332_139,0.45789585
E581_748,0.9643937
E1436_616,0.029154351
E928_447,0.9780123
E201_173,0.54446447
E1354_463,0.9649002
E1525_123,0.47296625
E1857_722,0.96774954
E972_555,0.03506247
E21_284,0.54856396
E619_656,0.95718825
E241_603,0.03469334
E927_432,0.9806239
E949_413,0.7609264
E65_389,0.05297311
E521_479,0.031550094
E639_425,0.99213177
E1682_535,0.988291
E785_147,0.41314408
E1402_204,0.5250929
E925_539,0.96967286
E1714_532,0.30142617
E1821_155,0.48237658
E111_653,0.96876764
E965_694,0.02786798
E1591_489,0.055038936
E815_68,0.44806287
E1071_726,0.04428995
E1224_51,0.3342121
E1173_513,0.9687728
E1001_757,0.036773782
E896_532,0.97224444
E656_613,0.029198216
E25_681,0.019283487
E875_422,0.058000043
E429_653,0.034091897
E188_127,0.4726785
E1662_719,0.037394498
E347_782,0.02434283
E1979_450,0.96427345
E702_416,0.9461817
E399_306,0.8832007
E542_184,0.62110406
E608_441,0.39841935
E424_145,0.54480547
E1907_370,0.9680028
E816_174,0.62104994
E1481_471,0.029212799
E721_426,0.95230836
E954_311,0.4471643
E571_258,0.5106713
E695_366,0.30330014
E1575_617,0.9671533
E737_495,0.19143197
E699_539,0.061111283
E1221_300,0.9556005
E661_771,0.030155376
E596_61,0.4257155
E1588_183,0.5452319
E1666_592,0.07028583
E1679_65,0.38028982
E1974_319,0.26777425
E583_19,0.34341243
E665_251,0.5147751
E1231_701,0.033753432
E1294_148,0.60042566
E1043_653,0.05176985
E500_71,0.41148484
E1918_389,0.22262815
E1541_65,0.3716098
E784_428,0.1717063
E1248_501,0.97096205
E1625_294,0.91783357
E187_154,0.46626022
E449_83,0.5080511
E1358_586,0.9550725
E1519_47,0.35058874
E255_608,0.0417419
E169_347,0.9765928
E1971_463,0.21188504
E1007_131,0.4746385
E859_551,0.9776887
E689_86,0.44812453
E1026_622,0.993729
E937_440,0.102280125
E1860_226,0.7651616
E1324_629,0.96783763
E1839_336,0.3280245
E973_228,0.5616351
E38_31,0.3372065
E59_681,0.054091673
E1636_784,0.9526456
E1437_241,0.4695517
E37_593,0.9459424
E1496_198,0.70390135
E1619_714,0.9802627
E7_697,0.9817912
E1692_585,0.02017506
E1111_381,0.21411517
E1768_507,0.98152107
E1303_476,0.041984297
E632_727,0.03264216
E880_391,0.23580712
E586_6,0.3577674
E119_549,0.037810463
E57_719,0.96407175
E1236_630,0.031395428
E1896_709,0.03973988
E1713_149,0.58400255
E1681_291,0.92426103
E1299_162,0.5240192
E654_183,0.64698654
E29_343,0.27902296
E100_667,0.0376686
E338_92,0.37523887
E704_238,0.49494234
E885_369,0.9633182
E71_405,0.3576211
E1115_93,0.41268733
E730_39,0.35222661
E1624_645,0.9818104
E1355_693,0.9774181
E32_227,0.54440874
E1693_369,0.9310392
E626_529,0.96310866
E1320_711,0.036594547
E1585_248,0.9016433
E747_657,0.96393746
E1388_390,0.96802706
E319_143,0.49196622
E568_418,0.038232155
E114_166,0.5785769
E1136_650,0.043591455
E1955_328,0.9842649
E1445_474,0.98024434
E594_701,0.96336955
E1290_119,0.44050047
E797_250,0.73205805
E225_368,0.2934096
E168_137,0.49534187
E1775_376,0.20172444
E1468_472,0.056859914
E1789_94,0.408279
E1362_662,0.035214685
E384_175,0.657393
E507_744,0.96209824
E894_373,0.3111489
E1592_152,0.5726935
E834_796,0.9755789
E1198_713,0.029538028
E757_521,0.04093037
E150_782,0.03731516
E1644_448,0.19322014
E443_357,0.22603251
E860_310,0.26228535
E683_395,0.10861031
E1776_314,0.31548324
E1450_314,0.3145912
E1341_383,0.3204445
E895_142,0.48345187
E415_10,0.36458814
E1403_381,0.23064157
E1132_625,0.9622374
E1643_356,0.7053313
E1494_315,0.3044615
E421_358,0.97957355
E633_340,0.9010015
E638_462,0.22910252
E1345_742,0.96884537
E1802_653,0.9379666
E944_155,0.4636351
E1255_514,0.09119642
E754_372,0.24799645
E929_495,0.02142703
E1363_490,0.9640778
E1607_637,0.9508531
E769_582,0.0148603
E98_679,0.9779022
E156_137,0.45801574
E1929_239,0.4637017
E1641_622,0.03274674
E1792_547,0.022984011
E1774_176,0.4291077
E10_242,0.5151859
E34_399,0.21699114
E1361_380,0.23902242
E1524_148,0.52715385
E1109_476,0.03324713
E422_762,0.032006435
E799_184,0.45685863
E565_772,0.9886733
E1366_648,0.9349066
E1000_636,0.021014526
E1820_274,0.47371504
E439_388,0.43784383
E350_735,0.035328396
E893_217,0.5075655
E1121_715,0.9490305
E1640_453,0.9747297
E789_541,0.97365224
E335_231,0.5351976
E1877_261,0.3311839
E1785_558,0.032429446
E1169_24,0.363133
E549_767,0.9463255
E397_704,0.98443115
E471_554,0.05889275
E262_603,0.038819727
E553_793,0.035771992
E767_756,0.98776585
E1189_140,0.4797487
E673_437,0.20062687
E1204_788,0.021939857
E1238_95,0.49246636
E1885_64,0.36421618
E441_330,0.6330374
E198_256,0.4740557
E580_426,0.21836515
E1834_415,0.07986458
E776_641,0.021597289
E1847_617,0.96178067
E615_778,0.036812503
E228_16,0.3314811
E1570_80,0.43575168
E701_480,0.06549097
E768_628,0.9698577
E1203_197,0.70125
E171_71,0.47583452
E194_357,0.2140291
E775_631,0.9837622
E1840_791,0.95823616
E561_118,0.44759715
E926_548,0.9666328
E969_237,0.7670725
E110_797,0.05311813
E662_138,0.44945544
E1474_234,0.7074382
E590_34,0.3461097
E666_602,0.0330017
E640_50,0.35569778
E467_107,0.4467589
E1849_535,0.045291495
E288_559,0.9654464
E1208_87,0.46447155
E285_667,0.012499724
E822_495,0.02885626
E1191_299,0.30074787
E829_28,0.3683019
E1773_424,0.24941982
E1521_409,0.97534466
E1759_113,0.5188335
E711_169,0.36449543
E1577_72,0.45196384
E1556_278,0.9615398
E1240_377,0.13841298
E910_596,0.96461064
E200_237,0.64452165
E780_72,0.37586078
E531_433,0.21337146
E1760_745,0.02423108
E725_693,0.0395544
E300_171,0.42484906
E835_21,0.34137237
E1517_169,0.5495348
E376_304,0.4531796
E132_308,0.37598538
E903_704,0.9644119
E1989_202,0.5210459
E316_109,0.47600618
E1051_360,0.8618868
E692_579,0.97224927
E993_581,0.09703092
E28_735,0.043388147
E193_562,0.9674121
E1899_772,0.030707503
E923_115,0.46723813
E1070_395,0.26471257
E70_696,0.98036915
E1485_756,0.95767605
E837_484,0.9775288
E1471_559,0.99065626
E1391_350,0.9680434
E1817_736,0.04724784
E108_534,0.9577179
E1842_660,0.022108644
E812_63,0.3375638
E1813_363,0.9832686
E1246_86,0.47634685
E1020_681,0.05418152
E374_96,0.4367914
E1999_549,0.9585081
E2_125,0.4083174
E851_615,0.97426164
E1921_255,0.82855946
E1805_607,0.038652748
E1321_151,0.5966076
E1827_164,0.50257385
E1878_711,0.016663847
E1454_693,0.033261526
E351_343,0.20981471
E1275_493,0.14750205
E1444_614,0.04356502
E54_327,0.957228
E1765_228,0.5295802
E1631_533,0.037139326
E1262_652,0.98517346
E5_558,0.9847659
E230_596,0.040109377
E67_665,0.036088247
E1848_433,0.9426197
E847_113,0.45625967
E584_677,0.02381245
E898_296,0.95064586
E1340_206,0.46366075
E1049_749,0.037901442
E1605_292,0.89894533
E887_193,0.65973365
E1336_657,0.021462105
E481_664,0.010875471
E1841_521,0.97213125
E818_587,0.9812009
E499_752,0.9632736
E681_227,0.5649798
E836_119,0.45746815
E804_156,0.45677787
E1536_644,0.9713331
E1306_184,0.5373392
E1119_778,0.041560553
E1276_532,0.043377638
E691_290,0.95569986
E1147_319,0.95734537
E1414_455,0.03245144
E479_599,0.99017346
E1532_442,0.9796816
E1983_34,0.3414817
E1924_165,0.62667197
E373_558,0.06287304
E1021_426,0.22315203
E367_170,0.56182146
E1950_103,0.4032933
E888_515,0.03305923
E1039_86,0.5019058
E648_647,0.042686313
E871_141,0.4780309
E24_367,0.23915638
E274_401,0.37648073
E1652_431,0.22360344
E1621_769,0.97572726
