Gene1,Gene2,score
PGD2,FGF9,0.19397663695442116
FGF9,PGD2,0.1939766369544138
AMH,DHH,0.1723144319182407
DHH,AMH,0.17231443191822804
AMH,NR0B1,0.13953622322329073
NR5A1,SOX9,0.1279371492263889
SOX9,NR5A1,0.12793714922638064
DMRT1,SRY,0.12699928538823838
DMRT1,DKK1,0.12132628629522385
DKK1,DMRT1,0.12132628629522385
AMH,RSPO1,0.11804533634953572
UGR,WT1pKTS,0.1120780435234834
NR5A1,UGR,0.11201789846611064
DHH,WNT4,0.10732758665466677
DHH,WT1mKTS,0.10703869626341116
FGF9,CBX2,0.1034011153791639
DHH,FOXL2,0.10265467140238006
PGD2,CTNNB1,0.09840025539404106
DKK1,GATA4,0.09604139526116962
NR0B1,AMH,0.05399748865547557
PGD2,AMH,0.04844928984682893
AMH,FGF9,0.03433629304009614
SOX9,FGF9,0.034036051426184044
AMH,PGD2,0.03064969222600078
FGF9,AMH,0.030224738230380216
DHH,PGD2,0.0259228813812378
WNT4,NR0B1,0.025669240712954566
FOXL2,SOX9,0.025328933806511245
PGD2,DHH,0.0238944145213911
WT1mKTS,AMH,0.022484643639443816
FGF9,DKK1,0.02150143742173702
RSPO1,UGR,0.021387487135853048
UGR,CBX2,0.02095593632375896
CTNNB1,DHH,0.01894337844971404
UGR,SRY,0.01879939777685742
FGF9,NR5A1,0.018633113899681336
RSPO1,DMRT1,0.017982529806818526
CTNNB1,UGR,0.01743482969959867
CBX2,WT1mKTS,0.01740251630708671
SOX9,CTNNB1,0.017248129406028323
FOXL2,WT1pKTS,0.0170210291602369
GATA4,AMH,0.016835349724604556
RSPO1,NR0B1,0.015805941664937817
DMRT1,NR5A1,0.015755064005990638
CTNNB1,NR0B1,0.015552753766770788
CBX2,DMRT1,0.015427353201375824
WT1pKTS,AMH,0.0153910280949109
SRY,WT1mKTS,0.015029144882387907
DHH,GATA4,0.013562208022097788
SOX9,RSPO1,0.013473432993379747
SRY,FOXL2,0.013284723955774305
DHH,UGR,0.013179242147507236
CTNNB1,WT1mKTS,0.01296403328266639
NR0B1,FGF9,0.012758331763684988
DKK1,CTNNB1,0.012705592424068823
DKK1,DHH,0.01246721846133618
NR0B1,WT1mKTS,0.012433914532155171
SRY,DKK1,0.012195367238229324
DKK1,WT1pKTS,0.012176214400929683
RSPO1,DHH,0.012133127806656346
SRY,WNT4,0.011755724438476126
RSPO1,CTNNB1,0.011635293200474295
DHH,FGF9,0.011345490586369411
WT1mKTS,WNT4,0.011260945796983723
SRY,UGR,0.011162983781545607
WT1pKTS,SOX9,0.01097297387483405
WT1pKTS,CTNNB1,0.010847633228076595
DMRT1,PGD2,0.010763995354133957
CTNNB1,GATA4,0.010344178961193343
GATA4,UGR,0.010229682049232733
CBX2,DHH,0.01008919833042958
FGF9,DHH,0.00979301777298587
WNT4,DKK1,0.009749654507473476
CBX2,SOX9,0.009431759757340508
GATA4,WT1mKTS,0.008963800243554546
DHH,SOX9,0.008955924229625448
FOXL2,AMH,0.00894051057217668
WT1mKTS,WT1pKTS,0.008634522116546042
WNT4,FGF9,0.008070371588582023
WT1pKTS,SRY,0.007775480561442588
UGR,DHH,0.007462128143468083
GATA4,WNT4,0.007399610830717898
CTNNB1,FGF9,0.007351818345965239
NR5A1,PGD2,0.007167226666066742
WNT4,RSPO1,0.006763437806075287
DKK1,SRY,0.006372415297665204
CBX2,WNT4,0.006339047015657323
UGR,FOXL2,0.005979414481371653
NR5A1,DMRT1,0.005798135861244086
SRY,NR5A1,0.005665116607167953
FOXL2,WNT4,0.005540198014322484
WT1pKTS,DHH,0.005476527201347975
NR5A1,WT1mKTS,0.005268489520070474
DMRT1,NR0B1,0.005150142905421415
WNT4,UGR,0.005007388782023683
SOX9,DHH,0.004857902399114267
SOX9,SRY,0.004828784294529959
WT1mKTS,DMRT1,0.004539436988643439
FOXL2,DMRT1,0.004532968398176351
WNT4,FOXL2,0.00430050264618255
SRY,RSPO1,0.004240388237587184
FOXL2,PGD2,0.004228812385249914
SOX9,UGR,0.0042212924566116805
FGF9,WT1mKTS,0.004161511759729411
WT1mKTS,FGF9,0.00412263371063494
NR0B1,NR5A1,0.0041160040227148365
UGR,PGD2,0.004098580764984094
DMRT1,DHH,0.003953455411308912
WT1mKTS,PGD2,0.0038393130956434623
WNT4,PGD2,0.0038038046791578906
WT1mKTS,GATA4,0.003414859982487861
DKK1,CBX2,0.0032023069755270084
DMRT1,UGR,0.0032004808540549157
DKK1,FGF9,0.0029410864310506907
SOX9,GATA4,0.0029374113080871678
WT1pKTS,FOXL2,0.0026783471307182116
PGD2,RSPO1,0.002595777404723623
GATA4,NR5A1,0.00234373316419767
CTNNB1,NR5A1,0.0022468591526459414
WNT4,GATA4,0.0021822142189562993
NR0B1,WNT4,0.0021731330561516188
WNT4,DMRT1,0.0021484409941677496
WT1pKTS,NR0B1,0.0021421704714865847
WT1mKTS,UGR,0.0019812746068818138
CBX2,NR5A1,0.0019529129497823233
WT1pKTS,CBX2,0.0019319092829728907
RSPO1,DKK1,0.001904284891291047
GATA4,DHH,0.0018880510840835474
DMRT1,CTNNB1,0.0018426711937505613
SRY,DMRT1,0.0016803536858437107
NR5A1,WT1pKTS,0.0016685263772687198
GATA4,PGD2,0.0016456564182310285
GATA4,WT1pKTS,0.0012187226564134707
WNT4,DHH,0.0012182659741232088
SOX9,DMRT1,0.001202341530669157
RSPO1,PGD2,0.001195581812081542
SRY,AMH,0.0011641436393252796
NR0B1,SOX9,0.0011249734976617326
CBX2,PGD2,0.0010308195912670376
NR5A1,CBX2,0.001007504319428934
FOXL2,RSPO1,0.0008159670740661706
GATA4,FOXL2,0.0007255730931327309
FGF9,WT1pKTS,0.0006897252352253691
RSPO1,WT1mKTS,0.0006143889103407962
SRY,WT1pKTS,0.0005722947874030465
UGR,GATA4,0.0004129667950310417
CTNNB1,CBX2,0.00039306135245704976
WT1pKTS,WT1mKTS,0.00023676400196437353
FOXL2,DKK1,0.00016345436502336608
UGR,SOX9,2.7873725368901536e-05
